25365|44979
25375|45712
25380|46183
25384|46221
25379|46482
25387|46683
25364|46916
25372|46984
25376|47319
25357|47819
25345|48014
25349|48087
25377|48401
25351|48449
25383|48709
25370|48720
25371|48739
25116|48753
25386|48774
25385|48779
25350|49059
25388|49071
25366|49072
25368|49092
25356|49105
25354|49120
25382|52286
25373|54775
25352|54789
25346|54922
25362|55312
25353|55480
25381|55504
25439|55504
25363|55956
25358|56063
25343|56484
25374|56608
25344|57255
25360|57403
25369|57507
25359|57509
25347|57684
25367|58988
25091|59026
25348|61000
25361|73960
25355|74026
25378|77882
25423|45684
25407|46899
25404|47738
25418|48204
25417|48303
25410|48396
25419|48454
25403|48485
25392|48489
25389|48649
25412|51338
25411|51346
25394|52177
25398|54891
25396|54907
25413|55219
25395|55773
25408|56077
25390|56617
25416|56699
25420|56895
25409|57505
25405|58146
25406|60921
25415|61685
25393|77153
25391|77170
25402|77171
25399|77195
25421|77857
25414|78100
25422|81003
25521|81003
25401|82139
